cpf,idade,renda_anual,sexo
612.079.853-68,33,233670,Feminino
264.905.873-00,37,405783,Masculino
348.609.271-50,30,122171,Feminino
053.849.712-23,32,177450,Masculino
092.346.581-24,37,356893,Feminino
648.109.352-05,36,429200,Masculino
453.679.120-52,37,175849,Masculino
237.860.945-00,36,87897,Masculino
317.208.956-86,33,150951,Masculino
541.067.983-01,30,462319,Masculino
058.437.619-75,54,247290,Masculino
809.647.352-29,42,298859,Masculino
915.382.764-37,33,453251,Masculino
137.426.850-07,40,339518,Masculino
691.584.732-46,44,390485,Masculino
820.654.793-29,26,453353,Masculino
235.176.804-35,39,327899,Masculino
519.406.328-89,30,255548,Masculino
270.368.495-92,42,411527,Masculino
427.093.185-04,28,184393,Masculino
754.098.261-67,34,460968,Feminino
162.903.574-25,28,424636,Masculino
169.074.825-76,27,394882,Masculino
095.136.847-84,36,413208,Masculino
793.056.428-29,54,235161,Feminino
509.864.317-10,50,334952,Masculino
436.129.507-70,51,191734,Feminino
132.465.970-06,45,241260,Masculino
237.649.501-61,34,432890,Masculino
928.514.736-46,37,244247,Feminino
754.260.813-44,34,408027,Feminino
275.938.104-88,40,127979,Masculino
072.156.893-95,29,161107,Masculino
283.706.459-92,48,88287,Masculino
537.041.298-79,42,183509,Masculino
729.803.154-60,39,317901,Masculino
729.385.610-59,40,178692,Masculino
503.241.896-05,30,217290,Feminino
480.635.179-20,49,432669,Feminino
390.416.852-51,34,366478,Masculino
472.310.659-61,31,128631,Masculino
685.204.137-90,41,431092,Masculino
824.375.601-90,30,304731,Feminino
407.528.913-32,34,303549,Masculino
742.193.580-05,34,456788,Feminino
598.367.412-91,35,111477,Masculino
901.627.534-70,29,186297,Masculino
752.106.348-17,39,491075,Masculino
168.329.054-24,41,304774,Feminino
831.904.257-79,27,223809,Masculino
234.768.901-04,34,422825,Masculino
062.134.958-51,36,306248,Feminino
316.708.254-26,44,393945,Masculino
143.076.285-35,54,103923,Masculino
706.138.294-50,41,150544,Masculino
921.504.687-94,35,279858,Feminino
562.380.417-90,28,229054,Masculino
374.952.610-99,52,252987,Masculino
251.390.678-03,41,332591,Feminino
427.356.908-65,30,407332,Feminino
043.617.289-50,29,458896,Masculino
320.895.647-92,35,170333,Feminino
830.569.274-47,35,294231,Masculino
037.942.165-80,36,358069,Masculino
254.689.073-56,30,271563,Feminino
186.457.093-84,48,497329,Masculino
490.726.835-10,33,310529,Masculino
736.182.495-19,30,220322,Masculino
251.634.870-35,33,361463,Masculino
697.201.435-25,31,289457,Masculino
814.095.273-79,31,156212,Masculino
524.139.068-51,31,174343,Masculino
893.142.507-41,34,204443,Feminino
815.904.672-30,39,131030,Masculino
362.579.108-03,33,394210,Masculino
135.674.902-06,36,152811,Masculino
973.260.158-21,54,266490,Feminino
