cpf,hora,data,produto,preço,quantidade,filial,vendedor,operação,total
493.851.260-24,15:52,29/03/2023,BYD e5,"220000,0",1,1,Lucas,avista,"220000,0"
329.871.645-64,14:30,10/02/2023,BYD Qin Pro,"200000,0",1,2,Gabriel,parcelado,"200000,0"
392.867.045-00,15:57,09/02/2023,BYD Tang,"300000,0",1,1,Antônio,parcelado,"300000,0"
892.714.063-03,12:41,04/11/2023,BYD Qin Pro,"200000,0",1,2,Lucas,parcelado,"200000,0"
293.017.568-03,11:45,25/02/2023,BYD Tang,"300000,0",1,2,Erick,parcelado,"300000,0"
985.127.346-55,19:33,19/02/2023,BYD e5,"220000,0",1,1,Gabriel,parcelado,"220000,0"
640.827.931-78,22:34,07/03/2023,BYD e5,"220000,0",1,2,Gabriel,parcelado,"220000,0"
783.945.162-46,12:36,26/05/2023,BYD e5,"220000,0",1,1,Lucas,parcelado,"220000,0"
795.142.306-80,18:06,25/11/2023,BYD e5,"220000,0",1,1,Eduardo,parcelado,"220000,0"
653.904.127-61,10:38,09/02/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
983.027.561-21,15:09,07/07/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,avista,"180000,0"
196.870.345-48,19:12,29/07/2023,BYD Qin Pro,"200000,0",1,2,Gabriel,avista,"200000,0"
682.175.390-30,18:47,01/01/2023,BYD Song Pro,"250000,0",1,1,Vinicius,parcelado,"250000,0"
584.176.293-19,19:17,16/07/2023,BYD Yuan Pro,"180000,0",1,1,Gabriel,parcelado,"180000,0"
745.083.269-00,18:25,28/06/2023,BYD Qin Pro,"200000,0",1,1,Mateus,avista,"200000,0"
368.091.452-06,21:40,05/01/2023,BYD Song Pro,"250000,0",1,2,Mateus,parcelado,"250000,0"
563.874.029-56,11:31,18/11/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
768.012.493-04,21:46,21/12/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,avista,"180000,0"
160.978.432-40,22:22,22/01/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,parcelado,"180000,0"
784.326.105-26,10:55,21/06/2023,BYD Qin Pro,"200000,0",1,1,Lucas,avista,"200000,0"
019.645.327-52,09:54,27/01/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
098.437.261-03,08:14,18/01/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,avista,"180000,0"
409.356.718-20,12:49,04/06/2023,BYD Song Pro,"250000,0",1,2,Vinicius,parcelado,"250000,0"
094.312.568-51,15:13,16/07/2023,BYD Song Pro,"250000,0",1,2,Gabriel,parcelado,"250000,0"
938.042.715-88,19:19,18/01/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
461.705.398-01,13:08,19/02/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
603.291.485-24,12:57,18/01/2023,BYD Yuan Pro,"180000,0",1,1,Theodoro,parcelado,"180000,0"
547.013.928-04,16:32,11/01/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,parcelado,"180000,0"
392.140.875-04,11:08,27/06/2023,BYD Qin Pro,"200000,0",1,1,Theodoro,avista,"200000,0"
256.197.843-55,15:08,08/11/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,avista,"180000,0"
732.094.681-50,10:33,13/06/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
821.095.734-14,16:06,09/01/2023,BYD Qin Pro,"200000,0",1,2,Mateus,avista,"200000,0"
438.752.109-05,08:33,10/11/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,parcelado,"180000,0"
862.134.790-31,21:05,30/12/2023,BYD e5,"220000,0",1,2,Mateus,avista,"220000,0"
013.468.925-98,14:51,02/09/2023,BYD e5,"220000,0",1,1,Gabriel,parcelado,"220000,0"
852.197.304-79,17:14,14/03/2023,BYD Yuan Pro,"180000,0",1,2,Eduardo,avista,"180000,0"
217.864.093-13,11:58,22/12/2023,BYD Yuan Pro,"180000,0",1,2,Eduardo,parcelado,"180000,0"
